Image,Tree_Count
Image_1,21
Image_2,6
Image_3,6
Image_4,3
Image_5,5
Image_6,13
Image_7,8
Image_8,8
Image_9,8
Image_10,5
Image_11,6
Image_12,14
Image_13,21
Image_14,23
Image_15,5
Image_16,14
Image_17,14
Image_18,6
Image_19,6
Image_20,111
Image_21,33
Image_22,27
Image_23,12
Image_24,48
Image_25,19
Image_26,51
Image_27,17
Image_28,56
Image_29,17
Image_30,7
Image_31,30
Image_32,75
Image_33,4
Image_34,85
Image_35,7
Image_36,7
Image_37,59
Image_38,38
Image_39,38
Image_40,38
Image_41,27
Image_42,25
Image_43,17
Image_44,52
Image_45,15
Image_46,15
Image_47,35
Image_48,46
Image_49,58
Image_50,56
Image_51,56
Image_52,49
Image_53,50
Image_54,40
Image_55,53
Image_56,62
Image_57,51
Image_58,50
Image_59,36
Image_60,52
Image_61,59
Image_62,73
Image_63,72
Image_64,49
Image_65,59
Image_66,43
Image_67,65
Image_68,98
Image_69,27
Image_70,62
Image_71,102
Image_72,101
Image_73,97
Image_74,81
Image_75,81
Image_76,77
Image_77,66
Image_78,46
Image_79,68
Image_80,96
Image_81,93
Image_82,93
Image_83,109
Image_84,106
Image_85,45
Image_86,46
Image_87,69
Image_88,116
Image_89,47
Image_90,67
Image_91,63
Image_92,57
Image_93,57
Image_94,49
Image_95,65
Image_96,42
Image_97,45
Image_98,61
Image_99,49
Image_100,49
Image_101,42
Image_102,52
Image_103,30
Image_104,11
Image_105,27
Image_106,33
Image_107,53
Image_108,53
Image_109,41
Image_110,8
Image_111,44
Image_112,35
Image_113,36
Image_114,37
Image_115,32
Image_116,17
Image_117,48
Image_118,39
Image_119,43
Image_120,34
Image_121,32
Image_122,17
Image_123,34
Image_124,35
Image_125,44
Image_126,17
Image_127,76
Image_128,93
Image_129,86
Image_130,96
Image_131,96
Image_132,84
Image_133,57
Image_134,58
Image_135,58
Image_136,51
Image_137,82
Image_138,126
Image_139,98
Image_140,134
Image_141,141
Image_142,125
Image_143,131
Image_144,105
Image_145,137
Image_146,134
Image_147,107
Image_148,173
Image_149,94
Image_150,128
Image_151,135
Image_152,94
Image_153,97
Image_154,102
Image_155,50
Image_156,44
Image_157,46
Image_158,72
Image_159,74
Image_160,72
Image_161,66
Image_162,56
Image_163,81
Image_164,82
Image_165,76
Image_166,66
Image_167,66
Image_168,65
Image_169,90
Image_170,67
Image_171,99
Image_172,99
Image_173,48
Image_174,110
Image_175,91
Image_176,74
Image_177,36
Image_178,35
Image_179,74
Image_180,60
Image_181,79
Image_182,91
Image_183,23
Image_184,56
Image_185,77
Image_186,101
Image_187,66
Image_188,51
Image_189,46
Image_190,34
Image_191,26
Image_192,10
Image_193,20
Image_194,21
Image_195,24
Image_196,28
Image_197,28
Image_198,36
Image_199,46
Image_200,48
Image_201,48
Image_202,47
Image_203,28
Image_204,21
Image_205,26
Image_206,26
Image_207,22
Image_208,29
Image_209,32
Image_210,32
Image_211,27
Image_212,34
Image_213,39
Image_214,37
Image_215,24
Image_216,35
Image_217,3
Image_218,3
Image_219,25
Image_220,15
Image_221,27
Image_222,29
Image_223,5
Image_224,43
Image_225,19
Image_226,24
Image_227,36
Image_228,36
Image_229,18
Image_230,18
Image_231,20
Image_232,25
Image_233,14
Image_234,18
Image_235,17
Image_236,15
Image_237,16
Image_238,11
Image_239,12
Image_240,6
Image_241,2
Image_242,15
Image_243,7
Image_244,7
Image_245,23
Image_246,2
Image_247,37
Image_248,24
Image_249,15
Image_250,20
Image_251,22
Image_252,21
Image_253,11
Image_254,14
Image_255,14
Image_256,1
Image_257,17
Image_258,17
Image_259,24
Image_260,30
Image_261,29
Image_262,29
Image_263,27
Image_264,27
Image_265,27
Image_266,29
Image_267,43
Image_268,40
Image_269,27
Image_270,59
Image_271,91
Image_272,15
Image_273,13
Image_274,13
Image_275,13
Image_276,12
Image_277,13
Image_278,14
Image_279,9
Image_280,9
Image_281,12
